m,watermolal,watermolar,na+molal,na+molar,cl-molal,cl-molar,molefrac ion,,,
3.05,0.891459848,0.989613435,1.144451273,1.270460311,0.415991309,0.461793753,0.049591883,3.490576382,1.268773493,4.428750789
3.1,0.889518267,0.989063649,1.157759693,1.28732379,0.41399988,0.460330324,0.050323041,3.589055049,1.283399629,4.60619192
3.15,0.887573546,0.988503356,1.171232193,1.30441805,0.412030765,0.458884557,0.05105183,3.689381409,1.297896909,4.788436727
3.2,0.885625791,0.987932658,1.184869308,1.321744575,0.410083248,0.457455776,0.05177826,3.791581785,1.312266393,4.975565352
3.25,0.883675105,0.987351654,1.198671606,1.339304894,0.408156651,0.456043338,0.052502342,3.895682719,1.326509116,5.167658639
3.3,0.881721592,0.986760445,1.212639689,1.357100574,0.40625033,0.454646637,0.05322409,4.001710974,1.34062609,5.364798135
3.35,0.879765355,0.986159129,1.226774189,1.375133221,0.404363673,0.453265095,0.053943512,4.109693535,1.354618303,5.567066082
3.4,0.877806493,0.985547805,1.241075768,1.393404479,0.402496095,0.451898165,0.054660622,4.219657611,1.368486724,5.77454542
3.45,0.875845108,0.984926572,1.255545113,1.411916025,0.400647043,0.450545325,0.055375429,4.331630639,1.3822323,5.98731978
3.5,0.873881299,0.984295527,1.270182937,1.430669572,0.398815989,0.449206082,0.056087946,4.44564028,1.395855961,6.205473483
3.55,0.871915163,0.983654769,1.284989979,1.449666865,0.397002427,0.447879963,0.056798182,4.561714426,1.409358617,6.429091535
3.6,0.869946798,0.983004394,1.299967,1.468909681,0.395205879,0.446566522,0.05750615,4.679881201,1.422741164,6.65825963
3.65,0.867976301,0.9823445,1.315114784,1.488399826,0.393425885,0.445265331,0.058211859,4.80016896,1.436004481,6.893064138
3.7,0.866003765,0.981675183,1.330434133,1.508139136,0.391662009,0.443975984,0.058915321,4.922606292,1.449149432,7.13359211
3.75,0.864029287,0.980996538,1.345925873,1.528129476,0.389913831,0.442698093,0.059616546,5.047222022,1.462176865,7.379931273
3.8,0.862052958,0.980308662,1.361590845,1.548372738,0.388180952,0.44143129,0.060315546,5.174045211,1.475087618,7.632170025
3.85,0.860074871,0.979611648,1.377429911,1.568870839,0.386462991,0.440175222,0.061012329,5.303105158,1.487882513,7.890397431
3.9,0.858095118,0.978905592,1.393443949,1.589625726,0.38475958,0.438929551,0.061706908,5.4344314,1.500562364,8.154703226
3.95,0.856113787,0.978190588,1.409633852,1.610639366,0.383070372,0.437693958,0.062399292,5.568053717,1.513127968,8.425177807
4,0.854130969,0.977466729,1.426000532,1.631913753,0.381395029,0.436468135,0.063089492,5.70400213,1.525580116,8.701912229
4.05,0.852146752,0.976734108,1.442544914,1.653450906,0.379733231,0.435251789,0.063777519,5.842306901,1.537919586,8.984998208
4.1,0.850161223,0.975992818,1.459267936,1.675252866,0.37808467,0.43404464,0.064463382,5.982998538,1.550147146,9.27452811
4.15,0.848174468,0.975242951,1.476170553,1.697321695,0.37644905,0.43284642,0.065147091,6.126107793,1.562263557,9.570594954
4.2,0.846186572,0.974484597,1.49325373,1.719659479,0.374826088,0.431656873,0.065828657,6.271665666,1.574269569,9.873292405
4.25,0.84419762,0.97371785,1.510518447,1.742268327,0.373215511,0.430475752,0.066508091,6.419703402,1.586165924,10.18271478
4.3,0.842207695,0.972942798,1.527965696,1.765150365,0.371617059,0.429302823,0.0671854,6.570252495,1.597953355,10.49895701
4.35,0.840216879,0.972159531,1.54559648,1.788307743,0.37003048,0.428137862,0.067860597,6.723344689,1.609632588,10.82211471
