x,water,Na+,Cl-
0.0138607784425,0.0313503970157,6.51862386683e-73,4.20440832465e-57
0.0140359865033,0.031350589601,6.5285332004e-73,4.19622957362e-57
0.0142111323165,0.0313507637642,6.53861499311e-73,4.18815813601e-57
0.0143862159153,0.0313509194633,6.54886639175e-73,4.18019130659e-57
0.0145612373327,0.0313510566574,6.55928465446e-73,4.17232647702e-57
0.0147361966019,0.0313511753077,6.56986714543e-73,4.16456113127e-57
0.014911093756,0.0313512753762,6.58061132995e-73,4.15689284134e-57
0.0150859288281,0.031351356827,6.59151476977e-73,4.14931926328e-57
0.0152607018513,0.0313514196249,6.60257511869e-73,4.14183813335e-57
0.0154354128585,0.0313514637366,6.61379011836e-73,4.13444726445e-57
0.0156100618827,0.0313514891297,6.62515759443e-73,4.12714454269e-57
